,iso2,year,new_sp,new_sp_m04,new_sp_m514,new_sp_m014,new_sp_m1524,new_sp_m2534,new_sp_m3544,new_sp_m4554,new_sp_m5564,new_sp_m65,new_sp_mu,new_sp_f04,new_sp_f514,new_sp_f014,new_sp_f1524,new_sp_f2534,new_sp_f3544,new_sp_f4554,new_sp_f5564,new_sp_f65,new_sp_fu
18,AD,2008,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
35,AE,1999,31.0,0.0,0.0,4.0,9.0,3.0,2.0,4.0,6.0,5.0,0.0,0.0,0.0,9.0,11.0,5.0,3.0,0.0,3.0,2.0,0.0
36,AE,2000,73.0,0.0,0.0,2.0,4.0,4.0,6.0,5.0,12.0,10.0,0.0,0.0,0.0,3.0,16.0,1.0,3.0,0.0,0.0,4.0,0.0
37,AE,2001,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,AE,2002,57.0,0.0,0.0,1.0,2.0,0.0,6.0,6.0,10.0,0.0,0.0,0.0,0.0,3.0,3.0,8.0,3.0,4.0,10.0,1.0,0.0
39,AE,2003,77.0,0.0,0.0,2.0,10.0,8.0,12.0,3.0,2.0,10.0,0.0,0.0,0.0,4.0,9.0,5.0,3.0,3.0,2.0,4.0,0.0
40,AE,2004,57.0,0.0,0.0,1.0,7.0,6.0,7.0,3.0,1.0,7.0,0.0,0.0,0.0,3.0,6.0,2.0,7.0,2.0,2.0,3.0,0.0
41,AE,2005,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,AE,2006,52.0,0.0,0.0,0.0,5.0,3.0,7.0,3.0,1.0,4.0,0.0,0.0,2.0,2.0,6.0,4.0,5.0,3.0,4.0,5.0,0.0
43,AE,2007,56.0,0.0,2.0,2.0,5.0,6.0,3.0,4.0,3.0,10.0,0.0,0.0,1.0,1.0,8.0,6.0,3.0,2.0,0.0,0.0,0.0
44,AE,2008,50.0,0.0,0.0,0.0,6.0,1.0,7.0,5.0,3.0,6.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,1.0,3.0,3.0,0.0
57,AF,1997,618.0,0.0,0.0,0.0,10.0,6.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,5.0,38.0,36.0,14.0,8.0,0.0,1.0,0.0
58,AF,1998,1833.0,0.0,0.0,30.0,129.0,128.0,90.0,89.0,64.0,41.0,0.0,0.0,0.0,45.0,350.0,419.0,194.0,118.0,61.0,20.0,0.0
59,AF,1999,1669.0,0.0,0.0,8.0,55.0,55.0,47.0,34.0,21.0,8.0,0.0,0.0,0.0,25.0,139.0,160.0,110.0,50.0,25.0,8.0,0.0
60,AF,2000,2892.0,0.0,0.0,52.0,228.0,183.0,149.0,129.0,94.0,80.0,0.0,0.0,0.0,93.0,414.0,565.0,339.0,205.0,99.0,36.0,0.0
61,AF,2001,4639.0,0.0,0.0,129.0,379.0,349.0,274.0,204.0,139.0,103.0,0.0,0.0,0.0,146.0,799.0,888.0,586.0,375.0,179.0,89.0,0.0
62,AF,2002,6509.0,0.0,0.0,90.0,476.0,481.0,368.0,246.0,241.0,189.0,0.0,0.0,0.0,192.0,1119.0,1251.0,792.0,526.0,320.0,218.0,0.0
63,AF,2003,6510.0,0.0,0.0,127.0,511.0,436.0,284.0,256.0,288.0,203.0,0.0,0.0,0.0,245.0,1152.0,1287.0,814.0,462.0,305.0,158.0,0.0
64,AF,2004,8273.0,0.0,0.0,139.0,537.0,568.0,360.0,358.0,386.0,310.0,0.0,0.0,0.0,256.0,1360.0,1561.0,1096.0,645.0,413.0,256.0,0.0
65,AF,2005,9949.0,0.0,0.0,151.0,606.0,560.0,472.0,453.0,470.0,419.0,0.0,0.0,0.0,320.0,1651.0,1959.0,1302.0,869.0,471.0,246.0,0.0
66,AF,2006,12468.0,0.0,0.0,193.0,837.0,791.0,574.0,572.0,572.0,410.0,0.0,0.0,0.0,442.0,2139.0,2340.0,1654.0,1006.0,630.0,309.0,0.0
67,AF,2007,13213.0,0.0,0.0,186.0,856.0,840.0,597.0,566.0,630.0,507.0,0.0,0.0,0.0,475.0,2224.0,2357.0,1708.0,1143.0,771.0,353.0,0.0
68,AF,2008,13136.0,0.0,0.0,187.0,941.0,773.0,545.0,570.0,630.0,575.0,0.0,0.0,0.0,428.0,2094.0,2449.0,1614.0,1149.0,817.0,364.0,0.0
83,AG,1996,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
86,AG,1999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,AG,2000,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
88,AG,2001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
89,AG,2002,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
90,AG,2003,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,AG,2005,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
93,AG,2006,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,AG,2007,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,AG,2008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,AL,1994,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,AL,1995,139.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,40.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,20.0,16.0,0.0
132,AL,1996,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,AL,1997,241.0,0.0,0.0,0.0,23.0,43.0,33.0,25.0,21.0,19.0,0.0,0.0,0.0,1.0,16.0,19.0,14.0,9.0,10.0,8.0,0.0
134,AL,1998,212.0,0.0,0.0,1.0,17.0,21.0,24.0,18.0,26.0,24.0,0.0,0.0,0.0,2.0,19.0,11.0,12.0,13.0,11.0,13.0,0.0
135,AL,1999,168.0,0.0,0.0,0.0,13.0,23.0,25.0,19.0,15.0,15.0,0.0,0.0,0.0,0.0,5.0,13.0,11.0,5.0,8.0,16.0,0.0
136,AL,2000,171.0,0.0,0.0,2.0,19.0,21.0,14.0,24.0,19.0,16.0,0.0,0.0,0.0,3.0,11.0,10.0,8.0,8.0,5.0,11.0,0.0
137,AL,2001,171.0,0.0,0.0,3.0,13.0,18.0,17.0,19.0,20.0,30.0,0.0,0.0,0.0,1.0,12.0,10.0,5.0,7.0,7.0,9.0,0.0
138,AL,2002,225.0,0.0,0.0,0.0,21.0,27.0,29.0,19.0,23.0,25.0,0.0,0.0,0.0,2.0,20.0,19.0,9.0,6.0,8.0,17.0,0.0
139,AL,2003,211.0,0.0,0.0,0.0,28.0,19.0,32.0,16.0,22.0,19.0,0.0,0.0,0.0,2.0,13.0,8.0,6.0,14.0,12.0,20.0,0.0
140,AL,2004,201.0,0.0,0.0,5.0,12.0,19.0,21.0,24.0,23.0,20.0,0.0,0.0,0.0,2.0,12.0,12.0,8.0,11.0,10.0,22.0,0.0
141,AL,2005,196.0,0.0,0.0,0.0,26.0,21.0,16.0,31.0,20.0,37.0,0.0,0.0,0.0,0.0,3.0,9.0,5.0,5.0,5.0,18.0,0.0
142,AL,2006,186.0,1.0,4.0,5.0,24.0,19.0,22.0,21.0,19.0,20.0,0.0,0.0,2.0,2.0,12.0,8.0,7.0,7.0,7.0,13.0,0.0
143,AL,2007,165.0,0.0,0.0,0.0,19.0,13.0,16.0,24.0,16.0,19.0,0.0,0.0,2.0,2.0,13.0,9.0,7.0,7.0,11.0,9.0,0.0
144,AL,2008,170.0,1.0,0.0,1.0,23.0,26.0,13.0,19.0,13.0,16.0,0.0,0.0,1.0,1.0,20.0,10.0,8.0,5.0,5.0,10.0,0.0
159,AM,1994,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,AM,1995,436.0,0.0,0.0,1.0,18.0,16.0,11.0,10.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,7.0,2.0,1.0,1.0,0.0,0.0
161,AM,1996,327.0,0.0,0.0,2.0,53.0,100.0,51.0,43.0,30.0,7.0,0.0,0.0,0.0,0.0,9.0,11.0,9.0,8.0,4.0,0.0,0.0
162,AM,1997,400.0,0.0,0.0,2.0,85.0,59.0,77.0,51.0,34.0,12.0,0.0,0.0,0.0,3.0,16.0,22.0,17.0,7.0,14.0,1.0,0.0
163,AM,1998,475.0,0.0,0.0,2.0,159.0,90.0,79.0,39.0,17.0,15.0,0.0,0.0,0.0,1.0,21.0,20.0,11.0,10.0,5.0,6.0,0.0
164,AM,1999,576.0,0.0,0.0,4.0,151.0,88.0,115.0,76.0,37.0,20.0,0.0,0.0,0.0,6.0,22.0,15.0,20.0,6.0,9.0,7.0,0.0
165,AM,2000,621.0,0.0,0.0,2.0,152.0,130.0,131.0,63.0,26.0,21.0,0.0,0.0,0.0,1.0,24.0,27.0,24.0,8.0,8.0,4.0,0.0
166,AM,2001,572.0,0.0,0.0,2.0,154.0,120.0,93.0,54.0,24.0,9.0,0.0,0.0,0.0,1.0,40.0,31.0,22.0,10.0,7.0,5.0,0.0
167,AM,2002,511.0,0.0,0.0,1.0,95.0,63.0,109.0,93.0,21.0,14.0,0.0,0.0,0.0,2.0,16.0,24.0,32.0,36.0,4.0,1.0,0.0
168,AM,2003,575.0,0.0,0.0,12.0,120.0,98.0,75.0,104.0,49.0,18.0,0.0,0.0,0.0,2.0,29.0,31.0,13.0,12.0,9.0,3.0,0.0
169,AM,2004,602.0,0.0,0.0,2.0,130.0,72.0,76.0,62.0,25.0,24.0,0.0,0.0,0.0,1.0,24.0,17.0,12.0,10.0,3.0,3.0,0.0
170,AM,2005,581.0,1.0,2.0,3.0,170.0,104.0,83.0,84.0,30.0,24.0,0.0,0.0,3.0,3.0,27.0,21.0,10.0,11.0,4.0,7.0,0.0
171,AM,2006,580.0,0.0,0.0,0.0,113.0,116.0,96.0,98.0,38.0,17.0,0.0,0.0,3.0,3.0,28.0,29.0,16.0,15.0,7.0,4.0,0.0
172,AM,2007,497.0,0.0,1.0,1.0,81.0,87.0,100.0,92.0,29.0,20.0,0.0,0.0,2.0,2.0,31.0,22.0,11.0,7.0,7.0,7.0,0.0
173,AM,2008,487.0,0.0,0.0,0.0,53.0,103.0,74.0,87.0,37.0,15.0,0.0,0.0,4.0,4.0,44.0,25.0,10.0,14.0,10.0,11.0,0.0
174,AN,1996,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
175,AN,1997,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0
176,AN,1998,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
177,AN,1999,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
178,AN,2000,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
179,AN,2001,7.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
180,AN,2002,9.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
181,AN,2003,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
182,AN,2004,8.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
184,AN,2006,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,AO,1993,4874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,AO,1994,4337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,AO,1995,3804.0,0.0,0.0,386.0,724.0,562.0,346.0,224.0,155.0,14.0,0.0,0.0,0.0,371.0,707.0,443.0,264.0,248.0,130.0,18.0,0.0
203,AO,1996,8016.0,0.0,0.0,360.0,1036.0,926.0,1027.0,469.0,272.0,169.0,0.0,0.0,0.0,388.0,1066.0,963.0,615.0,370.0,242.0,113.0,0.0
204,AO,1997,8246.0,0.0,0.0,419.0,913.0,1026.0,819.0,507.0,304.0,193.0,0.0,0.0,0.0,431.0,1165.0,1007.0,627.0,411.0,234.0,145.0,0.0
205,AO,1998,7333.0,0.0,0.0,240.0,915.0,950.0,839.0,470.0,219.0,135.0,0.0,0.0,0.0,297.0,1084.0,970.0,623.0,319.0,169.0,92.0,0.0
206,AO,1999,7379.0,0.0,0.0,391.0,1134.0,1237.0,973.0,518.0,314.0,234.0,0.0,0.0,0.0,459.0,1197.0,1157.0,743.0,474.0,217.0,194.0,0.0
207,AO,2000,9053.0,0.0,0.0,186.0,999.0,1003.0,912.0,482.0,312.0,194.0,0.0,0.0,0.0,247.0,1142.0,1091.0,844.0,417.0,200.0,120.0,0.0
208,AO,2001,11923.0,0.0,0.0,230.0,892.0,752.0,648.0,420.0,197.0,173.0,0.0,0.0,0.0,279.0,993.0,869.0,647.0,323.0,200.0,182.0,0.0
209,AO,2002,18087.0,0.0,0.0,435.0,2223.0,2292.0,1915.0,1187.0,624.0,444.0,0.0,0.0,0.0,640.0,2610.0,2208.0,1600.0,972.0,533.0,305.0,0.0
210,AO,2003,18971.0,0.0,0.0,409.0,2355.0,2598.0,1908.0,1090.0,512.0,361.0,0.0,0.0,0.0,591.0,3078.0,2641.0,1747.0,1157.0,395.0,129.0,0.0
211,AO,2004,20301.0,0.0,0.0,554.0,2684.0,2659.0,1998.0,1196.0,561.0,321.0,0.0,0.0,0.0,733.0,3198.0,2772.0,1854.0,1029.0,505.0,269.0,0.0
212,AO,2005,20410.0,0.0,0.0,520.0,2549.0,2797.0,1918.0,1255.0,665.0,461.0,0.0,0.0,0.0,704.0,2926.0,2682.0,1797.0,1138.0,581.0,417.0,0.0
213,AO,2006,21499.0,0.0,0.0,540.0,2632.0,3049.0,2182.0,1397.0,729.0,428.0,0.0,0.0,0.0,689.0,2851.0,2892.0,1990.0,1223.0,583.0,314.0,0.0
214,AO,2007,21422.0,0.0,0.0,484.0,2824.0,3197.0,2255.0,1357.0,699.0,465.0,0.0,0.0,0.0,703.0,2943.0,2721.0,1812.0,1041.0,554.0,367.0,0.0
215,AO,2008,22562.0,0.0,0.0,367.0,2970.0,3493.0,2418.0,1480.0,733.0,420.0,0.0,0.0,0.0,512.0,3199.0,2786.0,2082.0,1209.0,556.0,337.0,0.0
229,AR,1993,5937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,AR,1994,5696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,AR,1995,5698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,AR,1996,5787.0,0.0,0.0,113.0,611.0,535.0,338.0,276.0,230.0,286.0,0.0,0.0,0.0,107.0,643.0,591.0,528.0,546.0,520.0,463.0,0.0
233,AR,1997,5307.0,0.0,0.0,96.0,580.0,600.0,523.0,489.0,417.0,393.0,0.0,0.0,0.0,133.0,566.0,511.0,336.0,240.0,199.0,234.0,0.0
234,AR,1998,5186.0,0.0,0.0,84.0,578.0,571.0,463.0,476.0,387.0,370.0,0.0,0.0,0.0,94.0,558.0,498.0,271.0,229.0,207.0,276.0,0.0
235,AR,1999,4830.0,0.0,0.0,90.0,490.0,546.0,435.0,464.0,384.0,380.0,0.0,0.0,0.0,108.0,502.0,442.0,292.0,210.0,177.0,249.0,0.0
236,AR,2000,4749.0,0.0,0.0,97.0,278.0,594.0,402.0,419.0,368.0,330.0,0.0,0.0,0.0,121.0,544.0,479.0,262.0,230.0,179.0,216.0,0.0
237,AR,2001,5595.0,0.0,0.0,78.0,682.0,611.0,495.0,471.0,404.0,436.0,0.0,0.0,0.0,85.0,674.0,561.0,303.0,242.0,215.0,249.0,0.0
238,AR,2002,5498.0,0.0,0.0,70.0,612.0,658.0,463.0,477.0,389.0,399.0,0.0,0.0,0.0,117.0,622.0,580.0,301.0,237.0,203.0,255.0,0.0
239,AR,2003,4961.0,0.0,0.0,89.0,574.0,565.0,413.0,461.0,366.0,405.0,0.0,0.0,0.0,99.0,516.0,513.0,294.0,241.0,192.0,231.0,0.0
240,AR,2004,4760.0,0.0,0.0,64.0,588.0,543.0,399.0,387.0,332.0,345.0,0.0,0.0,0.0,98.0,519.0,477.0,271.0,237.0,169.0,237.0,0.0
241,AR,2005,4709.0,0.0,0.0,64.0,621.0,530.0,358.0,384.0,340.0,348.0,0.0,0.0,0.0,90.0,530.0,474.0,290.0,198.0,169.0,240.0,0.0
242,AR,2006,4834.0,19.0,48.0,67.0,519.0,484.0,360.0,351.0,346.0,321.0,0.0,18.0,56.0,74.0,438.0,437.0,235.0,197.0,173.0,213.0,0.0
243,AR,2007,4985.0,14.0,63.0,77.0,656.0,623.0,401.0,415.0,389.0,324.0,0.0,14.0,56.0,70.0,558.0,500.0,246.0,217.0,172.0,246.0,0.0
244,AR,2008,4758.0,11.0,58.0,69.0,633.0,611.0,390.0,416.0,364.0,295.0,30.0,5.0,61.0,66.0,536.0,506.0,252.0,221.0,157.0,204.0,8.0
258,AS,1993,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,AS,1994,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,AS,1997,6.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
263,AS,1998,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,AS,1999,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,AS,2000,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
266,AS,2001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
267,AS,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,AS,2003,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
269,AS,2004,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
270,AS,2005,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
271,AS,2006,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
289,AT,1995,467.0,0.0,0.0,4.0,37.0,95.0,82.0,89.0,71.0,73.0,0.0,0.0,0.0,6.0,22.0,52.0,32.0,21.0,18.0,59.0,0.0
290,AT,1996,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,AT,1997,434.0,0.0,0.0,24.0,59.0,117.0,170.0,168.0,122.0,185.0,0.0,0.0,0.0,33.0,41.0,93.0,62.0,52.0,52.0,172.0,0.0
292,AT,1998,381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,AT,1999,323.0,0.0,0.0,0.0,13.0,40.0,54.0,52.0,37.0,49.0,0.0,0.0,0.0,0.0,10.0,16.0,18.0,6.0,2.0,26.0,0.0
294,AT,2000,324.0,0.0,0.0,1.0,17.0,30.0,59.0,42.0,23.0,41.0,0.0,0.0,0.0,1.0,11.0,22.0,12.0,11.0,6.0,22.0,0.0
295,AT,2001,262.0,0.0,0.0,1.0,15.0,27.0,39.0,37.0,37.0,27.0,0.0,0.0,0.0,1.0,8.0,13.0,15.0,4.0,6.0,18.0,0.0
296,AT,2002,220.0,0.0,0.0,1.0,8.0,14.0,32.0,43.0,20.0,25.0,0.0,0.0,0.0,0.0,8.0,13.0,7.0,5.0,7.0,21.0,0.0
297,AT,2003,269.0,0.0,0.0,0.0,19.0,31.0,37.0,43.0,19.0,28.0,0.0,0.0,0.0,2.0,10.0,25.0,12.0,7.0,4.0,12.0,0.0
298,AT,2004,216.0,0.0,0.0,1.0,19.0,19.0,38.0,27.0,24.0,21.0,0.0,0.0,0.0,0.0,12.0,15.0,9.0,3.0,3.0,16.0,0.0
299,AT,2005,234.0,1.0,0.0,1.0,32.0,23.0,22.0,41.0,24.0,30.0,0.0,0.0,0.0,0.0,13.0,11.0,8.0,3.0,5.0,10.0,0.0
300,AT,2006,213.0,0.0,1.0,1.0,9.0,25.0,36.0,39.0,19.0,19.0,0.0,1.0,1.0,2.0,12.0,12.0,16.0,5.0,3.0,15.0,0.0
301,AT,2007,189.0,0.0,1.0,1.0,12.0,15.0,27.0,26.0,18.0,25.0,0.0,1.0,1.0,2.0,10.0,14.0,7.0,11.0,2.0,19.0,0.0
316,AU,1993,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320,AU,1997,226.0,0.0,0.0,1.0,8.0,24.0,18.0,13.0,17.0,28.0,0.0,0.0,0.0,0.0,10.0,15.0,9.0,5.0,10.0,12.0,0.0
